epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2131.13,0.52603,0.71609,0.96009,1,0.99782,0.995,0.91469,0.42716,0.65644,0.88151,0.0003962,0.0003962,0.0003962
83,2161.97,0.60109,0.70047,0.91907,1,0.99782,0.995,0.91469,0.42716,0.65644,0.88151,0.0003764,0.0003764,0.0003764
84,2190.86,0.57459,0.72103,0.93283,1,0.99575,0.995,0.92359,0.40725,0.64451,0.87285,0.0003566,0.0003566,0.0003566
85,2218.59,0.50391,0.65178,0.86556,0.99546,1,0.995,0.91911,0.40285,0.63242,0.8721,0.0003368,0.0003368,0.0003368
86,2244.96,0.49647,0.67612,0.91888,0.99588,1,0.995,0.91966,0.41669,0.63836,0.87843,0.000317,0.000317,0.000317
87,2273.43,0.62427,0.69999,0.96253,0.99588,1,0.995,0.91966,0.41669,0.63836,0.87843,0.0002972,0.0002972,0.0002972
88,2306.38,0.55818,0.66829,0.93511,0.99574,1,0.995,0.9124,0.4267,0.64783,0.88195,0.0002774,0.0002774,0.0002774
89,2342.42,0.5214,0.70322,0.91436,0.99595,1,0.995,0.91119,0.43038,0.65265,0.88167,0.0002576,0.0002576,0.0002576
90,2384.38,0.52737,0.63364,0.9214,0.99578,1,0.995,0.91354,0.42894,0.64726,0.8795,0.0002378,0.0002378,0.0002378
91,2429.09,0.45931,0.68592,0.85401,0.99578,1,0.995,0.91354,0.42894,0.64726,0.8795,0.000218,0.000218,0.000218
92,2462.26,0.4875,0.82877,0.92124,0.99868,1,0.995,0.91568,0.41857,0.63667,0.87578,0.0001982,0.0001982,0.0001982
93,2500.6,0.43543,0.68231,0.90094,0.99811,1,0.995,0.91604,0.40821,0.63363,0.87156,0.0001784,0.0001784,0.0001784
94,2530.04,0.48213,0.72961,0.90395,0.99656,1,0.995,0.91855,0.39594,0.62976,0.86653,0.0001586,0.0001586,0.0001586
95,2557.82,0.44888,0.65978,0.88329,0.99656,1,0.995,0.91855,0.39594,0.62976,0.86653,0.0001388,0.0001388,0.0001388
96,2585.27,0.46474,0.66666,0.87196,0.99372,1,0.995,0.91558,0.38521,0.62425,0.86261,0.000119,0.000119,0.000119
97,2612.8,0.46717,0.67786,0.91515,0.99544,1,0.995,0.91829,0.377,0.62563,0.85902,9.92e-05,9.92e-05,9.92e-05
98,2640.65,0.46109,0.68561,0.91184,1,0.99697,0.995,0.92489,0.36741,0.62271,0.85572,7.94e-05,7.94e-05,7.94e-05
99,2668.94,0.437,0.66022,0.86964,1,0.99697,0.995,0.92489,0.36741,0.62271,0.85572,5.96e-05,5.96e-05,5.96e-05
100,2696.16,0.44804,0.69474,0.90914,0.98334,1,0.99485,0.92715,0.36154,0.62066,0.8538,3.98e-05,3.98e-05,3.98e-05
